case	exact_test_key	old_digest	new_digest	changed	classification	text_changed	signal	before_frame	after_frame	before_style_dump	after_style_dump	before_ansi	after_ansi	before_html	after_html
filter_list::pressed	render::components::filter_list::pressed 40 10 junie mono	d09db330fe7eb549	0d816ddd663aaaf9	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__40x10__junie__mono.txt	after/frames/filter_list--pressed__40x10__junie__mono.txt						
filter_list::pressed	render::components::filter_list::pressed 40 10 junie truecolor	58377252918b9118	dbb9a0eae3643415	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__40x10__junie__truecolor.txt	after/frames/filter_list--pressed__40x10__junie__truecolor.txt						
filter_list::pressed	render::components::filter_list::pressed 40 10 paper mono	0c1a4adfb09fc63b	6063ad8ef3a17f95	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__40x10__paper__mono.txt	after/frames/filter_list--pressed__40x10__paper__mono.txt						
filter_list::pressed	render::components::filter_list::pressed 40 10 paper truecolor	afa33f2b36594b00	d56e6676173dd1ce	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__40x10__paper__truecolor.txt	after/frames/filter_list--pressed__40x10__paper__truecolor.txt						
filter_list::selected	render::components::filter_list::selected 120 40 junie mono	5173a3946a6f6d5d	3f69440e4a9060e9	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__120x40__junie__mono.txt	after/frames/filter_list--selected__120x40__junie__mono.txt						
filter_list::selected	render::components::filter_list::selected 120 40 junie truecolor	b7da71dfea121f8c	65b0aa26b58f144b	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__120x40__junie__truecolor.txt	after/frames/filter_list--selected__120x40__junie__truecolor.txt						
filter_list::selected	render::components::filter_list::selected 120 40 paper mono	8a92f44a0e7b1e2f	6f8e4459aaa89e0b	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__120x40__paper__mono.txt	after/frames/filter_list--selected__120x40__paper__mono.txt						
filter_list::selected	render::components::filter_list::selected 120 40 paper truecolor	ca34396211af4364	91f841839b52040a	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__120x40__paper__truecolor.txt	after/frames/filter_list--selected__120x40__paper__truecolor.txt						
filter_list::selected	render::components::filter_list::selected 40 10 junie mono	d1164217669aa67d	7d236c8e9d341d89	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__40x10__junie__mono.txt	after/frames/filter_list--selected__40x10__junie__mono.txt						
filter_list::selected	render::components::filter_list::selected 40 10 junie truecolor	97507dd1ee80de0c	b75b74fae33c588b	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__40x10__junie__truecolor.txt	after/frames/filter_list--selected__40x10__junie__truecolor.txt						
filter_list::selected	render::components::filter_list::selected 40 10 paper mono	c04b8c0f1387c74f	14aa4be1b51e4cab	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__40x10__paper__mono.txt	after/frames/filter_list--selected__40x10__paper__mono.txt						
filter_list::selected	render::components::filter_list::selected 40 10 paper truecolor	fcd4e0fb44859354	2c2fec69363618fa	yes	selected-row-marker	yes	textual-or-layout	before/frames/filter_list--selected__40x10__paper__truecolor.txt	after/frames/filter_list--selected__40x10__paper__truecolor.txt						
list::disabled	render::components::list::disabled 120 40 junie mono	164c36b18586726f	f103800dc105c655	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__120x40__junie__mono.txt	after/frames/list--disabled__120x40__junie__mono.txt	before/styles/list--disabled__120x40__junie__mono.tsv	after/styles/list--disabled__120x40__junie__mono.tsv	before/ansi/list--disabled__120x40__junie__mono.ansi	after/ansi/list--disabled__120x40__junie__mono.ansi	before/html/list--disabled__120x40__junie__mono.html	after/html/list--disabled__120x40__junie__mono.html
list::disabled	render::components::list::disabled 120 40 junie truecolor	ce3be201fd5894f6	75e65c95a31af14a	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__120x40__junie__truecolor.txt	after/frames/list--disabled__120x40__junie__truecolor.txt	before/styles/list--disabled__120x40__junie__truecolor.tsv	after/styles/list--disabled__120x40__junie__truecolor.tsv	before/ansi/list--disabled__120x40__junie__truecolor.ansi	after/ansi/list--disabled__120x40__junie__truecolor.ansi	before/html/list--disabled__120x40__junie__truecolor.html	after/html/list--disabled__120x40__junie__truecolor.html
list::disabled	render::components::list::disabled 120 40 paper mono	73efdde5cdb3a6c5	83c3412c6d3274e1	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__120x40__paper__mono.txt	after/frames/list--disabled__120x40__paper__mono.txt	before/styles/list--disabled__120x40__paper__mono.tsv	after/styles/list--disabled__120x40__paper__mono.tsv	before/ansi/list--disabled__120x40__paper__mono.ansi	after/ansi/list--disabled__120x40__paper__mono.ansi	before/html/list--disabled__120x40__paper__mono.html	after/html/list--disabled__120x40__paper__mono.html
list::disabled	render::components::list::disabled 120 40 paper truecolor	82e97d15fc758a0e	1a7c1de4c4138669	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__120x40__paper__truecolor.txt	after/frames/list--disabled__120x40__paper__truecolor.txt	before/styles/list--disabled__120x40__paper__truecolor.tsv	after/styles/list--disabled__120x40__paper__truecolor.tsv	before/ansi/list--disabled__120x40__paper__truecolor.ansi	after/ansi/list--disabled__120x40__paper__truecolor.ansi	before/html/list--disabled__120x40__paper__truecolor.html	after/html/list--disabled__120x40__paper__truecolor.html
list::disabled	render::components::list::disabled 40 10 junie mono	deac25911bc9718f	d7fff511bd43b3b5	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__40x10__junie__mono.txt	after/frames/list--disabled__40x10__junie__mono.txt	before/styles/list--disabled__40x10__junie__mono.tsv	after/styles/list--disabled__40x10__junie__mono.tsv	before/ansi/list--disabled__40x10__junie__mono.ansi	after/ansi/list--disabled__40x10__junie__mono.ansi	before/html/list--disabled__40x10__junie__mono.html	after/html/list--disabled__40x10__junie__mono.html
list::disabled	render::components::list::disabled 40 10 junie truecolor	4e5dee5a5d3d3a76	18f31a3001f22eca	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__40x10__junie__truecolor.txt	after/frames/list--disabled__40x10__junie__truecolor.txt	before/styles/list--disabled__40x10__junie__truecolor.tsv	after/styles/list--disabled__40x10__junie__truecolor.tsv	before/ansi/list--disabled__40x10__junie__truecolor.ansi	after/ansi/list--disabled__40x10__junie__truecolor.ansi	before/html/list--disabled__40x10__junie__truecolor.html	after/html/list--disabled__40x10__junie__truecolor.html
list::disabled	render::components::list::disabled 40 10 paper mono	447bcd08741e2165	12d2ab9c62b89201	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__40x10__paper__mono.txt	after/frames/list--disabled__40x10__paper__mono.txt	before/styles/list--disabled__40x10__paper__mono.tsv	after/styles/list--disabled__40x10__paper__mono.tsv	before/ansi/list--disabled__40x10__paper__mono.ansi	after/ansi/list--disabled__40x10__paper__mono.ansi	before/html/list--disabled__40x10__paper__mono.html	after/html/list--disabled__40x10__paper__mono.html
list::disabled	render::components::list::disabled 40 10 paper truecolor	85d6dbd488cef51e	733286663f91e919	yes	disabled-items	no	style-only-ambiguous	before/frames/list--disabled__40x10__paper__truecolor.txt	after/frames/list--disabled__40x10__paper__truecolor.txt	before/styles/list--disabled__40x10__paper__truecolor.tsv	after/styles/list--disabled__40x10__paper__truecolor.tsv	before/ansi/list--disabled__40x10__paper__truecolor.ansi	after/ansi/list--disabled__40x10__paper__truecolor.ansi	before/html/list--disabled__40x10__paper__truecolor.html	after/html/list--disabled__40x10__paper__truecolor.html
list::focused	render::components::list::focused 120 40 junie mono	164c36b18586726f	c82eb2ea27b199e1	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__120x40__junie__mono.txt	after/frames/list--focused__120x40__junie__mono.txt						
list::focused	render::components::list::focused 120 40 junie truecolor	ce3be201fd5894f6	82a91ae72dbb6f5f	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__120x40__junie__truecolor.txt	after/frames/list--focused__120x40__junie__truecolor.txt						
list::focused	render::components::list::focused 120 40 paper mono	73efdde5cdb3a6c5	cf4253e49708d4c7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__120x40__paper__mono.txt	after/frames/list--focused__120x40__paper__mono.txt						
list::focused	render::components::list::focused 120 40 paper truecolor	82e97d15fc758a0e	2b20bcba9fcb1768	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__120x40__paper__truecolor.txt	after/frames/list--focused__120x40__paper__truecolor.txt						
list::focused	render::components::list::focused 40 10 junie mono	deac25911bc9718f	63512ef3e9965241	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__40x10__junie__mono.txt	after/frames/list--focused__40x10__junie__mono.txt						
list::focused	render::components::list::focused 40 10 junie truecolor	4e5dee5a5d3d3a76	0194da55648030ff	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__40x10__junie__truecolor.txt	after/frames/list--focused__40x10__junie__truecolor.txt						
list::focused	render::components::list::focused 40 10 paper mono	447bcd08741e2165	af2da36dce26e4a7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__40x10__paper__mono.txt	after/frames/list--focused__40x10__paper__mono.txt						
list::focused	render::components::list::focused 40 10 paper truecolor	85d6dbd488cef51e	9747894746c94f28	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--focused__40x10__paper__truecolor.txt	after/frames/list--focused__40x10__paper__truecolor.txt						
list::pressed	render::components::list::pressed 120 40 junie mono	cb5e7c9046398305	58d1cbccb78dd4f7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__120x40__junie__mono.txt	after/frames/list--pressed__120x40__junie__mono.txt						
list::pressed	render::components::list::pressed 120 40 junie truecolor	d0e89104e36aa2ea	4f8509df4dd3d6a3	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__120x40__junie__truecolor.txt	after/frames/list--pressed__120x40__junie__truecolor.txt						
list::pressed	render::components::list::pressed 120 40 paper mono	f2ce0cf198981d97	4a88db0dfb7b711b	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__120x40__paper__mono.txt	after/frames/list--pressed__120x40__paper__mono.txt						
list::pressed	render::components::list::pressed 120 40 paper truecolor	3e524d83e9dfe491	e608c80c5d2853e4	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__120x40__paper__truecolor.txt	after/frames/list--pressed__120x40__paper__truecolor.txt						
list::pressed	render::components::list::pressed 40 10 junie mono	7f93e89c2dddc765	fb08873b8e58e857	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__40x10__junie__mono.txt	after/frames/list--pressed__40x10__junie__mono.txt						
list::pressed	render::components::list::pressed 40 10 junie truecolor	7a673016b0ed65aa	0cfde54fb5f36ba3	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__40x10__junie__truecolor.txt	after/frames/list--pressed__40x10__junie__truecolor.txt						
list::pressed	render::components::list::pressed 40 10 paper mono	d3717338bef62977	2eccd01dd15f4bfb	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__40x10__paper__mono.txt	after/frames/list--pressed__40x10__paper__mono.txt						
list::pressed	render::components::list::pressed 40 10 paper truecolor	d5f14e0f54f98a11	174d354087cf3c44	yes	owned-cursor-state	yes	textual-or-layout	before/frames/list--pressed__40x10__paper__truecolor.txt	after/frames/list--pressed__40x10__paper__truecolor.txt						
menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie mono	ee5d27b03b18dbb3	9af82d9aa0bb0e6b	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__120x40__junie__mono.txt	after/frames/menu_bar--disabled__120x40__junie__mono.txt	before/styles/menu_bar--disabled__120x40__junie__mono.tsv	after/styles/menu_bar--disabled__120x40__junie__mono.tsv	before/ansi/menu_bar--disabled__120x40__junie__mono.ansi	after/ansi/menu_bar--disabled__120x40__junie__mono.ansi	before/html/menu_bar--disabled__120x40__junie__mono.html	after/html/menu_bar--disabled__120x40__junie__mono.html
menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie truecolor	5cae5c8506ff7113	ee73e38d0aac1d5f	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__120x40__junie__truecolor.txt	after/frames/menu_bar--disabled__120x40__junie__truecolor.txt	before/styles/menu_bar--disabled__120x40__junie__truecolor.tsv	after/styles/menu_bar--disabled__120x40__junie__truecolor.tsv	before/ansi/menu_bar--disabled__120x40__junie__truecolor.ansi	after/ansi/menu_bar--disabled__120x40__junie__truecolor.ansi	before/html/menu_bar--disabled__120x40__junie__truecolor.html	after/html/menu_bar--disabled__120x40__junie__truecolor.html
menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper mono	fd2495cb9a5e26ab	47ca50934e3a7cab	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__120x40__paper__mono.txt	after/frames/menu_bar--disabled__120x40__paper__mono.txt	before/styles/menu_bar--disabled__120x40__paper__mono.tsv	after/styles/menu_bar--disabled__120x40__paper__mono.tsv	before/ansi/menu_bar--disabled__120x40__paper__mono.ansi	after/ansi/menu_bar--disabled__120x40__paper__mono.ansi	before/html/menu_bar--disabled__120x40__paper__mono.html	after/html/menu_bar--disabled__120x40__paper__mono.html
menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper truecolor	7326495bdac3a26f	c51182a848826343	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__120x40__paper__truecolor.txt	after/frames/menu_bar--disabled__120x40__paper__truecolor.txt	before/styles/menu_bar--disabled__120x40__paper__truecolor.tsv	after/styles/menu_bar--disabled__120x40__paper__truecolor.tsv	before/ansi/menu_bar--disabled__120x40__paper__truecolor.ansi	after/ansi/menu_bar--disabled__120x40__paper__truecolor.ansi	before/html/menu_bar--disabled__120x40__paper__truecolor.html	after/html/menu_bar--disabled__120x40__paper__truecolor.html
menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie mono	12b9a851f9af4d93	5875cb2ca6db0e4b	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__40x10__junie__mono.txt	after/frames/menu_bar--disabled__40x10__junie__mono.txt	before/styles/menu_bar--disabled__40x10__junie__mono.tsv	after/styles/menu_bar--disabled__40x10__junie__mono.tsv	before/ansi/menu_bar--disabled__40x10__junie__mono.ansi	after/ansi/menu_bar--disabled__40x10__junie__mono.ansi	before/html/menu_bar--disabled__40x10__junie__mono.html	after/html/menu_bar--disabled__40x10__junie__mono.html
menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie truecolor	f50445ec8b64db53	941d2bfe50b94e9f	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__40x10__junie__truecolor.txt	after/frames/menu_bar--disabled__40x10__junie__truecolor.txt	before/styles/menu_bar--disabled__40x10__junie__truecolor.tsv	after/styles/menu_bar--disabled__40x10__junie__truecolor.tsv	before/ansi/menu_bar--disabled__40x10__junie__truecolor.ansi	after/ansi/menu_bar--disabled__40x10__junie__truecolor.ansi	before/html/menu_bar--disabled__40x10__junie__truecolor.html	after/html/menu_bar--disabled__40x10__junie__truecolor.html
menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper mono	30ec7711c4af9f0b	215378711234f50b	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__40x10__paper__mono.txt	after/frames/menu_bar--disabled__40x10__paper__mono.txt	before/styles/menu_bar--disabled__40x10__paper__mono.tsv	after/styles/menu_bar--disabled__40x10__paper__mono.tsv	before/ansi/menu_bar--disabled__40x10__paper__mono.ansi	after/ansi/menu_bar--disabled__40x10__paper__mono.ansi	before/html/menu_bar--disabled__40x10__paper__mono.html	after/html/menu_bar--disabled__40x10__paper__mono.html
menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper truecolor	0d6c0a069c56e61f	d450ea8c66ace473	yes	disabled-menu-title	no	style-only-ambiguous	before/frames/menu_bar--disabled__40x10__paper__truecolor.txt	after/frames/menu_bar--disabled__40x10__paper__truecolor.txt	before/styles/menu_bar--disabled__40x10__paper__truecolor.tsv	after/styles/menu_bar--disabled__40x10__paper__truecolor.tsv	before/ansi/menu_bar--disabled__40x10__paper__truecolor.ansi	after/ansi/menu_bar--disabled__40x10__paper__truecolor.ansi	before/html/menu_bar--disabled__40x10__paper__truecolor.html	after/html/menu_bar--disabled__40x10__paper__truecolor.html
menu_bar::selected	render::components::menu_bar::selected 120 40 junie mono	ee5d27b03b18dbb3	2cadcc13e3a3e5dc	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__120x40__junie__mono.txt	after/frames/menu_bar--selected__120x40__junie__mono.txt						
menu_bar::selected	render::components::menu_bar::selected 120 40 junie truecolor	5cae5c8506ff7113	7ce2dcb96fe3ab74	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__120x40__junie__truecolor.txt	after/frames/menu_bar--selected__120x40__junie__truecolor.txt						
menu_bar::selected	render::components::menu_bar::selected 120 40 paper mono	fd2495cb9a5e26ab	1475eebd94fb5194	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__120x40__paper__mono.txt	after/frames/menu_bar--selected__120x40__paper__mono.txt						
menu_bar::selected	render::components::menu_bar::selected 120 40 paper truecolor	7326495bdac3a26f	97c0c20511358e28	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__120x40__paper__truecolor.txt	after/frames/menu_bar--selected__120x40__paper__truecolor.txt						
menu_bar::selected	render::components::menu_bar::selected 40 10 junie mono	12b9a851f9af4d93	b384a1a3ec5178bc	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__40x10__junie__mono.txt	after/frames/menu_bar--selected__40x10__junie__mono.txt						
menu_bar::selected	render::components::menu_bar::selected 40 10 junie truecolor	f50445ec8b64db53	042240f4cf8be674	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__40x10__junie__truecolor.txt	after/frames/menu_bar--selected__40x10__junie__truecolor.txt						
menu_bar::selected	render::components::menu_bar::selected 40 10 paper mono	30ec7711c4af9f0b	872baa8d69b7c874	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__40x10__paper__mono.txt	after/frames/menu_bar--selected__40x10__paper__mono.txt						
menu_bar::selected	render::components::menu_bar::selected 40 10 paper truecolor	0d6c0a069c56e61f	b93f5d7953bf5db8	yes	selected-menu-title-marker	yes	textual-or-layout	before/frames/menu_bar--selected__40x10__paper__truecolor.txt	after/frames/menu_bar--selected__40x10__paper__truecolor.txt						
nav_list::focused	render::components::nav_list::focused 120 40 junie mono	3edf5c964f3d7e70	92e7590be06299da	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__120x40__junie__mono.txt	after/frames/nav_list--focused__120x40__junie__mono.txt						
nav_list::focused	render::components::nav_list::focused 120 40 junie truecolor	aa170fa48c7bff95	f554267b7ee8fc00	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__120x40__junie__truecolor.txt	after/frames/nav_list--focused__120x40__junie__truecolor.txt						
nav_list::focused	render::components::nav_list::focused 120 40 paper mono	8e51cb4ea971312e	51f6c66f35311470	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__120x40__paper__mono.txt	after/frames/nav_list--focused__120x40__paper__mono.txt						
nav_list::focused	render::components::nav_list::focused 120 40 paper truecolor	1e4bf4714984fc83	532acf4ff044aee7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__120x40__paper__truecolor.txt	after/frames/nav_list--focused__120x40__paper__truecolor.txt						
nav_list::focused	render::components::nav_list::focused 40 10 junie mono	613c729105191690	fbfea57f3bea9fba	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__40x10__junie__mono.txt	after/frames/nav_list--focused__40x10__junie__mono.txt						
nav_list::focused	render::components::nav_list::focused 40 10 junie truecolor	c1dfdac7373c2195	ee0e4d99b237d760	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__40x10__junie__truecolor.txt	after/frames/nav_list--focused__40x10__junie__truecolor.txt						
nav_list::focused	render::components::nav_list::focused 40 10 paper mono	2f75b81b553a8ece	cad797704aec7ed0	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__40x10__paper__mono.txt	after/frames/nav_list--focused__40x10__paper__mono.txt						
nav_list::focused	render::components::nav_list::focused 40 10 paper truecolor	2734b2396e1dd5d3	6756802c7f4823c7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--focused__40x10__paper__truecolor.txt	after/frames/nav_list--focused__40x10__paper__truecolor.txt						
nav_list::pressed	render::components::nav_list::pressed 120 40 junie mono	d3726f43d9cf7856	51fd20d819d143f8	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__120x40__junie__mono.txt	after/frames/nav_list--pressed__120x40__junie__mono.txt						
nav_list::pressed	render::components::nav_list::pressed 120 40 junie truecolor	49fcb62bf25e1aa1	eb922fa4890e2230	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__120x40__junie__truecolor.txt	after/frames/nav_list--pressed__120x40__junie__truecolor.txt						
nav_list::pressed	render::components::nav_list::pressed 120 40 paper mono	42df346c389d6f62	9d3cb8522c228bfe	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__120x40__paper__mono.txt	after/frames/nav_list--pressed__120x40__paper__mono.txt						
nav_list::pressed	render::components::nav_list::pressed 120 40 paper truecolor	3aa06624efd9ddcb	ae97a016290304c8	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__120x40__paper__truecolor.txt	after/frames/nav_list--pressed__120x40__paper__truecolor.txt						
nav_list::pressed	render::components::nav_list::pressed 40 10 junie mono	aabd8a0f4ff229b6	f509dd11dca59558	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__40x10__junie__mono.txt	after/frames/nav_list--pressed__40x10__junie__mono.txt						
nav_list::pressed	render::components::nav_list::pressed 40 10 junie truecolor	51b1ce9c9f6961e1	415381837005dff0	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__40x10__junie__truecolor.txt	after/frames/nav_list--pressed__40x10__junie__truecolor.txt						
nav_list::pressed	render::components::nav_list::pressed 40 10 paper mono	30e8f7b5f8165f42	8b0685697ff049de	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__40x10__paper__mono.txt	after/frames/nav_list--pressed__40x10__paper__mono.txt						
nav_list::pressed	render::components::nav_list::pressed 40 10 paper truecolor	80b4214a0332a62b	332b55336eb18208	yes	owned-cursor-state	yes	textual-or-layout	before/frames/nav_list--pressed__40x10__paper__truecolor.txt	after/frames/nav_list--pressed__40x10__paper__truecolor.txt						
picker::focused	render::components::picker::focused 120 40 junie mono	3b3e3c128e5a6a0d	ae22947fe377164b	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__120x40__junie__mono.txt	after/frames/picker--focused__120x40__junie__mono.txt						
picker::focused	render::components::picker::focused 120 40 junie truecolor	e86c596e8f67992e	535130592ffe9931	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__120x40__junie__truecolor.txt	after/frames/picker--focused__120x40__junie__truecolor.txt						
picker::focused	render::components::picker::focused 120 40 paper mono	a8252482ad8025bb	5df9a5cb79cfa7e5	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__120x40__paper__mono.txt	after/frames/picker--focused__120x40__paper__mono.txt						
picker::focused	render::components::picker::focused 120 40 paper truecolor	d74a1161bf34e69e	cdc0c16f32d2da5c	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__120x40__paper__truecolor.txt	after/frames/picker--focused__120x40__paper__truecolor.txt						
picker::focused	render::components::picker::focused 40 10 junie mono	e71f4fbb98c0629d	4035eaa0d5eb411b	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__40x10__junie__mono.txt	after/frames/picker--focused__40x10__junie__mono.txt						
picker::focused	render::components::picker::focused 40 10 junie truecolor	5e9e8059097fa47a	7784168247fda52d	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__40x10__junie__truecolor.txt	after/frames/picker--focused__40x10__junie__truecolor.txt						
picker::focused	render::components::picker::focused 40 10 paper mono	d3e9fcf66ea92fbb	fae4bcdad5769015	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__40x10__paper__mono.txt	after/frames/picker--focused__40x10__paper__mono.txt						
picker::focused	render::components::picker::focused 40 10 paper truecolor	c65062169bcf1fc2	a5dbe1d817935d10	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--focused__40x10__paper__truecolor.txt	after/frames/picker--focused__40x10__paper__truecolor.txt						
picker::pressed	render::components::picker::pressed 120 40 junie mono	3b3e3c128e5a6a0d	e384d8855db9a701	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__120x40__junie__mono.txt	after/frames/picker--pressed__120x40__junie__mono.txt						
picker::pressed	render::components::picker::pressed 120 40 junie truecolor	e86c596e8f67992e	de2267e2110c830b	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__120x40__junie__truecolor.txt	after/frames/picker--pressed__120x40__junie__truecolor.txt						
picker::pressed	render::components::picker::pressed 120 40 paper mono	a8252482ad8025bb	b579e0ca1c981775	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__120x40__paper__mono.txt	after/frames/picker--pressed__120x40__paper__mono.txt						
picker::pressed	render::components::picker::pressed 120 40 paper truecolor	d74a1161bf34e69e	8b8b6a4cdc5962be	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__120x40__paper__truecolor.txt	after/frames/picker--pressed__120x40__paper__truecolor.txt						
picker::pressed	render::components::picker::pressed 40 10 junie mono	e71f4fbb98c0629d	30b219c114ff3bf1	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__40x10__junie__mono.txt	after/frames/picker--pressed__40x10__junie__mono.txt						
picker::pressed	render::components::picker::pressed 40 10 junie truecolor	5e9e8059097fa47a	51e83678ba783c77	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__40x10__junie__truecolor.txt	after/frames/picker--pressed__40x10__junie__truecolor.txt						
picker::pressed	render::components::picker::pressed 40 10 paper mono	d3e9fcf66ea92fbb	f2943383d2b20685	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__40x10__paper__mono.txt	after/frames/picker--pressed__40x10__paper__mono.txt						
picker::pressed	render::components::picker::pressed 40 10 paper truecolor	c65062169bcf1fc2	84a73ce5590f85b2	yes	owned-cursor-state	yes	textual-or-layout	before/frames/picker--pressed__40x10__paper__truecolor.txt	after/frames/picker--pressed__40x10__paper__truecolor.txt						
picker::selected	render::components::picker::selected 120 40 junie mono	b3ae92858be43071	eca6c3a03ce0aba5	yes	selected-row-marker	yes	textual-or-layout	before/frames/picker--selected__120x40__junie__mono.txt	after/frames/picker--selected__120x40__junie__mono.txt						
picker::selected	render::components::picker::selected 120 40 junie truecolor	9b37264df946abc8	fea42ba364322807	yes	selected-row-marker	yes	textual-or-layout	before/frames/picker--selected__120x40__junie__truecolor.txt	after/frames/picker--selected__120x40__junie__truecolor.txt						
picker::selected	render::components::picker::selected 120 40 paper mono	84f14628077bc8c7	d957d53cc0ba8b93	yes	selected-row-marker	yes	textual-or-layout	before/frames/picker--selected__120x40__paper__mono.txt	after/frames/picker--selected__120x40__paper__mono.txt						
